fullpath,exe,length,crc,load_address,magicexe,magicload,magictext
A&b computing ($.A&B.csv)\2-ADVENTURES\$.DUNMESS,0,6495,19123,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.DUNLOCS,0,6225,12147,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.SCREEN,31744,1024,15058,31744,32519,31744,Mode 7 screen #2
A&b computing ($.A&B.csv)\2-ADVENTURES\I.AMNLOCS,0,870,23940,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.AMNLOCS,0,24828,52225,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\2-ADVENTURES\I.AMNMESS,0,515,29128,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.AMNMESS,0,13236,64900,0,32761,4352,TYB music samples #6
A&b computing ($.A&B.csv)\2-ADVENTURES\$.XANINIT,0,414,53368,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.!START,16744483,301,62217,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.AMNESIA,16744483,9073,55699,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.XANADU,16744483,8704,42150,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.XANDAT,0,12668,11221,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.!BOOT,16777215,21,57376,65535,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.INIT,0,1260,3830,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.ADVDAT,0,9105,4878,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+DOC1,16777215,19704,31950,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+DOC2,0,18091,41465,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MENU,16744491,1238,2067,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+MURCLU,16777215,1984,17867,65535,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AaB_MURDER\V.+LIST1,16777215,2248,29076,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.AaB,18048,7616,45007,18048,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.LOADER,32803,345,57149,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.INIT,16777215,16384,45045,0,32515,16384,Mode 3 screen #2
A&b computing ($.A&B.csv)\AaB_MURDER\$.!BOOT,16777215,19,15858,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.SCREEN,31744,1024,14209,31744,32519,31744,Mode 7 screen #2
A&b computing ($.A&B.csv)\AaB_MURDER\$.SQUASH,16744483,1419,4025,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+README,142126,2172,42515,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+DOC3,0,9864,42230,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AaB_MURDER\$.ADVRUNF,16744491,10001,1056,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MURDAT,0,10917,10858,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MURMESS,0,19215,40063,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MURLOCS,0,13515,57641,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.TEXTGEN,16744483,6394,25516,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.PUZGEN,16744483,18305,14036,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\T.INFO,0,35,60436,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL3,16744483,6489,49576,9216,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\B.MINUET,16744483,2041,60477,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\H.MENUET,16744483,1484,1671,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.GSTRING,16744483,4114,1448,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.TRIO1,16744483,1960,33799,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.TRIO2,16744483,2136,26460,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.ELISE,16744483,4736,57172,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.STUDIO,32803,1379,24566,4352,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.MENU,16744483,625,6405,16716032,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL4,16744483,616,26053,9216,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL1,32803,4154,3297,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.!BOOT,0,10,32802,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL2,0,395,18114,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL5,0,2203,44234,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\A.MUSIC,0,11659,25935,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB-MUSICIA\A.STRUCT,0,9217,53963,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB-MUSICIA\$.STUDIO2,16744483,6728,63602,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.MUSIC1,16744483,2156,20192,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.SOUNDS,16744479,7650,46138,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.SICILI,16744483,6510,3539,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.PLAYER,32803,5184,65423,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.MUSIC2,16744483,5248,30107,3840,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\C.HECK,3072,256,20939,3072,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.FRECT,16744491,834,12202,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.FELIPSE,16744491,967,28705,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.RECT,16744491,545,33651,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.TEXT,16744491,504,7868,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.BRUSH,16744491,430,21199,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.SBRUSH,16744491,230,59176,16715264,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.SPAINT,16744491,281,63163,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.RUBBER,16744491,156,47837,16715264,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.CLEAR,16744491,176,37110,16715264,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.TOOLS,16744491,795,52305,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.DPAINT,16744491,740,24445,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.DBRUSH,16744491,727,36471,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.COLOUR,16744491,1072,44166,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.ARC,16744491,940,32399,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.PENCIL,16744491,964,37545,16715776,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.SPARE2,16744491,1004,41027,16715776,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.IKON,16744491,1843,57694,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.REPAINT,16744491,1004,10094,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.INIT,16744491,313,41325,16715776,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.SPARE1,16744491,545,33651,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.CHARS,16744491,3165,48095,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\V.+CIKON3,16722734,5915,63494,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\V.+CIKON1,16722734,5286,38483,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\V.+CIKON2,16722734,5278,51843,17750,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB01\V.+CIKON4,16722734,5852,44420,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.!BOOT,16777215,30,42530,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.COPY,16744491,692,43854,16715776,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.ELLIPSE,16744491,757,62878,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB02\V.+DOC1,16777215,19704,31950,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\V.+DOC2,0,18091,41465,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\$.MENU,16744491,1238,2067,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB02\V.+MURCLU,16777215,1984,17867,65535,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB02\V.+LIST1,16777215,2248,29076,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\$.AaB,18048,7616,45007,18048,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\$.LOADER,32803,345,57149,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB02\$.INIT,16777215,16384,45045,0,32515,16384,Mode 3 screen #2
A&b computing ($.A&B.csv)\AB02\$.!BOOT,16777215,19,15858,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\$.SCREEN,31744,1024,14209,31744,32519,31744,Mode 7 screen #2
A&b computing ($.A&B.csv)\AB02\$.SQUASH,16744483,1419,4025,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB02\V.+README,142126,2172,42515,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\V.+DOC3,0,9864,42230,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB02\$.ADVRUNF,16744491,10001,1056,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB02\$.MURDAT,0,10917,10858,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\$.MURMESS,0,19215,40063,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\$.MURLOCS,0,13515,57641,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB02\$.TEXTGEN,16744483,6394,25516,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB02\$.PUZGEN,16744483,18305,14036,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB03\V.+DOC3,0,9864,42230,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB03\V.+DOC2,0,18091,41465,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.!BOOT,16777215,19,15858,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.SQUASH,16744483,1419,4025,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB03\$.TEXTGEN,16744483,6394,25516,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB03\$.DUNLOCS,0,6225,12147,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.DUNMESS,0,6495,19123,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.INIT,0,253,20756,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\V.+DOC1,16777215,19704,31950,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.AaB,18048,7616,45007,18048,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.PUZGEN,16744483,18305,14036,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB03\$.ADVRUNF,16744491,9989,65158,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB03\V.+TABLES,0,12216,53788,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.MENU,16744483,1238,2067,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB03\$.DUNDAT,0,6222,53548,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB03\$.LOADER,16744491,343,49478,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB04\$.DUNMESS,0,6495,19123,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.DUNLOCS,0,6225,12147,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.SCREEN,31744,1024,15058,31744,32519,31744,Mode 7 screen #2
A&b computing ($.A&B.csv)\AB04\I.AMNLOCS,0,870,23940,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.AMNLOCS,0,24828,52225,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB04\I.AMNMESS,0,515,29128,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.AMNMESS,0,13236,64900,0,32761,4352,TYB music samples #6
A&b computing ($.A&B.csv)\AB04\$.XANINIT,0,414,53368,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.!START,16744483,301,62217,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB04\$.AMNESIA,16744483,9073,55699,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB04\$.XANADU,16744483,8704,42150,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB04\$.XANDAT,0,12668,11221,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.!BOOT,16777215,21,57376,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.INIT,0,1260,3830,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB04\$.ADVDAT,0,9105,4878,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB05\T.INFO,0,35,60436,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB05\M.CSL3,16744483,6489,49576,9216,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\B.MINUET,16744483,2041,60477,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\H.MENUET,16744483,1484,1671,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\E.GSTRING,16744483,4114,1448,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\E.TRIO1,16744483,1960,33799,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\E.TRIO2,16744483,2136,26460,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\E.ELISE,16744483,4736,57172,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.STUDIO,32803,1379,24566,4352,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.MENU,16744483,625,6405,16716032,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\M.CSL4,16744483,616,26053,9216,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\M.CSL1,32803,4154,3297,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.!BOOT,0,10,32802,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB05\M.CSL2,0,395,18114,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB05\M.CSL5,0,2203,44234,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB05\A.MUSIC,0,11659,25935,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB05\A.STRUCT,0,9217,53963,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB05\$.STUDIO2,16744483,6728,63602,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.MUSIC1,16744483,2156,20192,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.SOUNDS,16744479,7650,46138,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.SICILI,16744483,6510,3539,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.PLAYER,32803,5184,65423,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\$.MUSIC2,16744483,5248,30107,3840,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB05\C.HECK,3072,256,20939,3072,0,0,no match #1
A&b computing ($.A&B.csv)\AB101\$.INTERFA,32803,1147,31134,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.SPA1,32803,671,22643,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.CHARACT,32803,3621,62819,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.CELLSAN,32803,14165,49902,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.COLOURM,16744491,2897,43424,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.HEADER,16744491,1592,28299,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.BARCHAR,32803,1949,25659,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.LABELLI,32803,1692,40010,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.SPA2,32803,260,12972,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.DIRECTO,32803,702,29738,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.BBCFUNC,32803,1289,54343,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.DATACOL,32803,1236,14244,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.TANDYPR,32803,770,26876,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB101\$.!BOOT,16777215,19,49617,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB101\$.SCREEN,12288,7616,45007,12288,0,0,no match #1
A&b computing ($.A&B.csv)\AB101\$.CLUBHOU,32803,8888,26102,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.COPYCAT,32803,1953,18617,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.HEADER,16744491,1524,26889,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.SPIDERM,32803,7451,43868,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.ADDITIO,32803,2969,29269,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.ASTEROI,32803,2354,36959,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.ADDITI2,16744491,2536,24360,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.CATALO1,32803,5561,47079,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.CATALO2,16744491,10765,10006,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.BARCHAR,32803,1426,58851,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.!BOOT,16777215,19,49617,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB102\$.SCREEN,12288,7616,45007,12288,0,0,no match #1
A&b computing ($.A&B.csv)\AB102\$.SPACECH,32803,6352,7302,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.MATHSTE,32803,5479,45823,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.PAIRS,16744491,3582,40399,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.SPACEMA,16744491,3968,30757,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.STRINGS,16744491,2222,47385,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB102\$.GRAPHPL,16744491,1870,54757,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.AUDAX,32803,1979,5406,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.SPELLIN,32803,5045,28280,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.FLY,32803,6700,10604,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.ARCHIV1,32803,1106,14733,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.ARCHIV2,32803,1060,20869,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.MONTECA,16744491,2867,687,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.HEADER,16744491,1618,60314,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.TXTINVA,32803,4817,15048,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.SPACEAD,32803,14797,220,6400,32803,3584,Basic page=&E00 #1
A&b computing ($.A&B.csv)\AB103\$.FORTUNE,32803,14555,7579,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.COCKPIT,32803,5281,19940,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.SCREEN,12288,7616,45007,12288,0,0,no match #1
A&b computing ($.A&B.csv)\AB103\$.!BOOT,16777215,19,49617,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB103\$.EPSONPR,32803,2424,9345,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.BEEBWOR,32803,5495,49422,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.SNEST,32803,4562,39492,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.NOTEGUE,32803,2514,1941,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB103\$.SHAPE,32803,2825,32869,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.INTMS,16744491,5962,33105,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.FORMULA,32803,7380,1032,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.PETSPID,32803,3938,3050,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.INVASIO,32803,497,50776,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.MULTICH,32803,1896,55225,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.DOGSDIN,32803,4400,57524,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.SPIRO,32803,4015,58059,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.BATTLES,32803,9038,31961,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.BINARYG,16744491,3560,55258,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.HEADER,16744491,1575,18427,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.SPACEWA,32803,7393,29352,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.!BOOT,16777215,19,49617,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB104\$.SCREEN,12288,7616,45007,12288,0,0,no match #1
A&b computing ($.A&B.csv)\AB104\$.BINARY,32803,7004,6257,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.CHRISTM,32803,12919,5218,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.DUO,32803,5562,34409,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.GRAPHIC,32803,4757,60002,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB104\$.3D,32803,1375,60481,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.HELICOP,32803,6118,51304,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.!BOOT,16731970,105,139,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AB105\$.COLLECT,32803,2809,47178,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.WORDGRI,32803,6904,37324,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.EPSON2,16744491,1090,46746,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.EPSON3,16744491,1138,55080,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.EPSON4,16744491,4719,26561,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.CAVATIN,32803,8316,10808,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.COLOURG,32803,4596,59967,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.MATRIXT,32803,3387,49435,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.HEADER,16744491,1549,48305,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.DOODLEB,32803,7717,37234,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.FLAGGED,32803,1983,41429,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.THERMO3,32803,2304,25784,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.EPSON1,16744491,1081,17715,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.SCREEN,12288,7616,45007,12288,0,0,no match #1
A&b computing ($.A&B.csv)\AB105\$.DEATHIN,32803,13482,23775,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.DUNEFIG,32803,10664,43275,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB105\$.ADDSNAP,32803,5665,29574,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.ALLCHAN,16744491,3825,47021,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.HEADER,16744491,1494,43146,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.PUSSIN2,16744491,14916,10073,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.HANG2,32803,6024,4101,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.CELLARS,32803,4868,16040,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.!BOOT,16731970,105,5217,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AB106\$.SCREEN,12288,7616,45007,12288,0,0,no match #1
A&b computing ($.A&B.csv)\AB106\$.DISCMEN,32803,2059,30271,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.GRAPHIC,32803,2242,59777,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.SICILIA,32803,5848,53168,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.PUSSIN1,32803,1885,36947,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.EARTHBA,32803,3779,39731,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB106\$.HANG1,32803,6274,41742,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB107\$.TURTLEB,16744491,12675,52778,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB107\$.ED2,16744491,1681,20173,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB107\$.SKLOAD,32803,3543,7150,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB107\$.SKOOGS,16744491,5099,48449,16715776,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB107\$.PONT1,32803,1200,11460,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB107\$.PONT2,16744491,7118,20376,16715264,32803,0,Basic #1
